,序号,数据id,关联标题,客户名称,生产单号,订单编号,销售明细,关联标题.1,物料编号,名称,规格,计量单位,计划数量,预计开始时间,预计结束时间,工序,关联标题.2,首道工序机器编码,备注,实际开始时间,实际结束时间,生产状态,关联标题.3,班组名称,物料标题(隐藏),物料名称（隐藏）,当前日期（隐藏）,创建时间,创建者,创建人部门,审批单标题
0,1,DhiKF-FJRKaljDvCQRGEmw05971665800466,,,202210150939,,,活门闭锁（小电流）轴缩6mm_,万控.成品.00436,活门闭锁（小电流）轴缩6mm,,个,30,2022-10-15,2022-10-15,B-激光切割,,,B,2022-10-15,,进行中,,,,活门闭锁（小电流）轴缩6mm_,2022-10-15,2022-10-15 10:21:06,张倩,后勤部,活门闭锁（小电流）轴缩6mm_
1,2,3b7FHNFLSOaEvabwl2xGfQ05971665736530,四川金彭,四川金彭,202210140937,,,右裙边/福将150S_,电瓶车-三轮.成品.02705,右裙边/福将150S,,个,400,2022-10-14,2022-10-17,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型三次",,,B,2022-10-14,,进行中,B组,B组,,右裙边/福将150S_,2022-10-14,2022-10-14 16:35:30,杨萍,后勤部,右裙边/福将150S_
2,3,mq667QmmTUSrfq9eM-kzog05971665736530,四川金彭,四川金彭,202210140938,,,后裙边/福将150S_,电瓶车-三轮.成品.02703,后裙边/福将150S,,个,400,2022-10-14,2022-10-17,"B-唐宇下料,B-切角两次,B-一次折弯,B-二次折弯,B-压型两次",,,B,2022-10-14,,进行中,B组,B组,,后裙边/福将150S_,2022-10-14,2022-10-14 16:35:30,杨萍,后勤部,后裙边/福将150S_
3,4,8OkyW5nVSe-IcMHWhXsggQ05971665736357,四川金彭,四川金彭,202210140933,,,右裙边/福将150S_,电瓶车-三轮.成品.02705,右裙边/福将150S,,个,400,2022-10-14,2022-10-17,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型三次",,,B,,,未启动,B组,B组,,右裙边/福将150S_,2022-10-14,2022-10-14 16:32:37,杨萍,后勤部,右裙边/福将150S_
4,5,XQbCY1G6SYmSWvbgrvhGRQ05971665736357,四川金彭,四川金彭,202210140934,,,后裙边/福将150S_,电瓶车-三轮.成品.02703,后裙边/福将150S,,个,400,2022-10-14,2022-10-17,"B-唐宇下料,B-切角两次,B-一次折弯,B-二次折弯,B-压型两次",,,B,,,未启动,B组,B组,,后裙边/福将150S_,2022-10-14,2022-10-14 16:32:37,杨萍,后勤部,后裙边/福将150S_
5,6,s8dg4sEPQ7ChmgTMjGhGSg05971665736357,四川金彭,四川金彭,202210140935,,,左裙边/荣耀130_,电瓶车-三轮.成品.02688,左裙边/荣耀130,,个,300,2022-10-14,2022-10-17,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型两次",,,B,2022-10-14,,进行中,B组,B组,,左裙边/荣耀130_,2022-10-14,2022-10-14 16:32:37,杨萍,后勤部,左裙边/荣耀130_
6,7,BvNLrLCiS9KuUK2obD1wog05971665736357,四川金彭,四川金彭,202210140932,,,左裙边/福将150S_,电瓶车-三轮.成品.02704,左裙边/福将150S,,个,400,2022-10-14,2022-10-17,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型三次",,,B,2022-10-14,,进行中,B组,B组,,左裙边/福将150S_,2022-10-14,2022-10-14 16:32:37,杨萍,后勤部,左裙边/福将150S_
7,8,zwlE70JQSai80IMHYxghwg05971665736357,四川金彭,四川金彭,202210140936,,,右裙边/荣耀130_,电瓶车-三轮.成品.02690,右裙边/荣耀130,,个,300,2022-10-14,2022-10-17,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型两次",,,B,2022-10-14,,进行中,B组,B组,,右裙边/荣耀130_,2022-10-14,2022-10-14 16:32:37,杨萍,后勤部,右裙边/荣耀130_
8,9,OwWsTFYPTO-5KRWVYs59rA05971665734468,,,202210140931,,,Q1-后泥板安装支架_,电瓶车-两轮.成品.04538,Q1-后泥板安装支架,,个,8000,2022-10-14,2022-10-16,D-连续模出成品,,,D,2022-10-14,,进行中,,,,Q1-后泥板安装支架_,2022-10-14,2022-10-14 16:01:08,杨萍,后勤部,Q1-后泥板安装支架_
9,10,6t0T_1lSQ4SWlUtA1f2YsA05971665734384,,,202210140930,,,DF1-新后货加强支架_,电瓶车-两轮.成品.04240,DF1-新后货加强支架,,个,2500,2022-10-14,2022-10-15,D-连续模出成品,,,D,2022-10-14,,进行中,,,,DF1-新后货加强支架_,2022-10-14,2022-10-14 15:59:44,杨萍,后勤部,DF1-新后货加强支架_
